transaction_id,sender_account_id,receiver_account_id,amount_usd,transaction_type,transaction_date,status,source_system
TX00040,ACC0021,ACC0014,6292,Transfer,2025-12-03 07:00:57,Pending,Wallet Export
TX00041,ACC0026,ACC0059,5753,Refund,2025-12-01 15:05:53,Completed,Wallet Export
TX00042,ACC0004,ACC0025,6553,Refund,2025-08-19 16:46:54,Completed,Bank Export
TX00043,ACC0036,ACC0045,10535,Deposit,2026-04-29 11:38:17,Pending,ERP
TX00044,ACC0004,ACC0015,14394,Refund,2025-10-31 10:28:44,Completed,ERP
TX00045,ACC0005,ACC0014,9799,Withdrawal,2026-05-14 03:53:22,Completed,ERP
TX00046,ACC0056,ACC0078,8404,Transfer,2025-06-20 11:02:02,Pending,Wallet Export
TX00047,ACC0033,ACC0006,11637,Withdrawal,2025-07-31 15:02:30,Completed,Wallet Export
TX00048,ACC0047,ACC0056,1171,Refund,2025-10-22 20:47:52,Flagged,ERP
TX00049,ACC0016,ACC0039,8333,Refund,2025-05-29 12:36:07,Pending,ERP
TX00050,ACC0052,ACC0038,9108,Payment,2025-10-27 07:30:25,Completed,Manual Report
TX00051,ACC0049,ACC0023,10109,Deposit,2025-09-08 16:23:02,Completed,Manual Report
TX00052,ACC0071,ACC0001,5003,Refund,2026-05-23 12:17:12,Completed,Manual Report
TX00053,ACC0075,ACC0078,10751,Refund,2026-03-29 04:34:48,Pending,Manual Report
TX00054,ACC0057,ACC0028,8400,Withdrawal,2026-03-29 14:26:54,Completed,Bank Export
TX00055,ACC0037,ACC0066,10901,Deposit,2025-11-21 09:29:52,Completed,Bank Export
TX00056,ACC0031,ACC0040,3705,Payment,2025-09-16 11:13:40,Completed,Bank Export
TX00057,ACC0006,ACC0032,7809,Deposit,2025-11-08 23:13:40,Completed,Manual Report
TX00058,ACC0054,ACC0081,9456,Payment,2026-02-23 05:12:57,Pending,Manual Report
TX00059,ACC0052,ACC0032,2442,Transfer,2026-03-08 09:18:55,Completed,Manual Report
TX00060,ACC0029,ACC0023,13199,Deposit,2026-03-28 21:58:16,Pending,Bank Export
TX00061,ACC0072,ACC0032,13924,Transfer,2025-12-30 12:38:55,Pending,Wallet Export
TX00062,ACC0060,ACC0068,9182,Deposit,2026-02-09 17:36:00,Completed,Manual Report
TX00063,ACC0079,ACC0065,7016,Deposit,2026-03-03 16:33:46,Pending,Wallet Export
TX00064,ACC0061,ACC0058,4271,Payment,2025-12-03 16:37:07,Completed,Manual Report
TX00065,ACC0081,ACC0031,4524,Withdrawal,2025-07-27 19:19:24,Completed,ERP
TX00066,ACC0031,ACC0035,5527,Refund,2025-08-10 10:29:20,Flagged,Bank Export
TX00067,ACC0018,ACC0020,3813,Withdrawal,2025-09-20 22:01:47,Completed,Wallet Export
TX00068,ACC0009,ACC0054,6703,Refund,2025-08-21 05:37:54,Flagged,Manual Report
TX00069,ACC0054,ACC0008,3413,Withdrawal,2025-06-20 09:36:58,Pending,Bank Export
TX00070,ACC0074,ACC0049,7839,Transfer,2026-01-08 14:51:50,Completed,ERP
TX00071,ACC0050,ACC0054,8843,Deposit,2026-03-10 10:04:48,Flagged,Wallet Export
TX00072,ACC0063,ACC0029,4496,Withdrawal,2025-12-25 06:08:17,Pending,Bank Export
TX00073,ACC0050,ACC0044,10983,Withdrawal,2025-06-21 08:40:41,Completed,Manual Report
TX00074,ACC0017,ACC0080,8776,Transfer,2026-03-15 04:09:00,Pending,Bank Export
TX00075,ACC0011,ACC0055,2248,Withdrawal,2025-09-27 11:31:16,Completed,Bank Export
TX00076,ACC0034,ACC0049,5388,Payment,2025-06-19 21:19:53,Pending,ERP
TX00077,ACC0044,ACC0049,4583,Withdrawal,2025-06-17 03:52:22,Completed,Bank Export
TX00078,ACC0061,ACC0003,12297,Deposit,2026-01-10 13:26:32,Completed,ERP
TX00079,ACC0029,ACC0009,12824,Transfer,2025-11-29 20:30:12,Completed,Wallet Export
TX00080,ACC0026,ACC0003,10204,Payment,2025-12-09 23:25:03,Completed,Wallet Export
TX00081,ACC0061,ACC0015,9265,Payment,2026-05-20 17:49:17,Pending,ERP
TX00082,ACC0048,ACC0022,9951,Deposit,2026-04-24 20:26:16,Completed,Wallet Export
TX00083,ACC0040,ACC0014,9506,Transfer,2025-12-20 22:58:00,Completed,Manual Report
TX00084,ACC0051,ACC0026,1270,Deposit,2025-07-28 19:53:30,Completed,Bank Export
TX00085,ACC0039,ACC0077,13222,Transfer,2025-06-19 18:40:06,Flagged,Bank Export
TX00086,ACC0045,ACC0069,7043,Refund,2025-12-11 21:49:01,Completed,ERP
TX00087,ACC0002,ACC0054,13498,Withdrawal,2025-06-28 19:12:19,Completed,Manual Report
TX00088,ACC0047,ACC0082,14632,Withdrawal,2026-04-24 07:36:00,Completed,Manual Report
TX00089,ACC0023,ACC0067,10682,Refund,2025-08-08 20:31:36,Flagged,Manual Report
TX00090,ACC0060,ACC0056,13553,Deposit,2025-06-24 07:10:39,Completed,ERP
TX00091,ACC0032,ACC0012,4594,Withdrawal,2026-01-14 18:38:30,Completed,Manual Report
TX00092,ACC0073,ACC0079,10972,Withdrawal,2025-06-24 01:57:13,Completed,Bank Export
TX00093,ACC0064,ACC0042,3004,Withdrawal,2026-02-14 21:56:58,Completed,ERP
TX00094,ACC0034,ACC0044,4606,Deposit,2026-04-28 09:14:58,Completed,Bank Export
TX00095,ACC0067,ACC0025,1427,Payment,2025-08-28 00:46:18,Pending,Manual Report
TX00096,ACC0072,ACC0031,11339,Withdrawal,2025-11-01 11:58:24,Pending,Manual Report
TX00097,ACC0003,ACC0012,4845,Payment,2025-07-14 05:56:12,Pending,Wallet Export
TX00098,ACC0040,ACC0075,6071,Withdrawal,2026-05-09 10:35:30,Flagged,ERP
TX00099,ACC0055,ACC0071,5444,Refund,2026-01-04 22:16:19,Pending,ERP
TX00100,ACC0040,ACC0033,3802,Transfer,2025-09-01 07:24:21,Completed,ERP
TX00101,ACC0016,ACC0069,12512,Payment,2026-01-08 12:25:45,Completed,Wallet Export
TX00102,ACC0062,ACC0036,11896,Deposit,2026-01-14 13:49:57,Flagged,ERP
TX00103,ACC0013,ACC0025,4878,Payment,2025-06-13 02:55:53,Completed,Wallet Export
TX00104,ACC0039,ACC0002,11625,Deposit,2026-01-24 05:33:59,Completed,ERP
TX00105,ACC0006,ACC0007,9091,Refund,2025-06-29 12:39:11,Completed,Manual Report
TX00106,ACC0014,ACC0002,9430,Refund,2025-11-07 11:58:18,Pending,Manual Report
TX00107,ACC0057,ACC0044,3045,Transfer,2026-02-07 23:40:28,Completed,Manual Report
TX00108,ACC0015,ACC0009,6590,Withdrawal,2026-01-10 08:43:57,Completed,Bank Export
TX00109,ACC0020,ACC0073,5003,Transfer,2026-01-03 04:48:33,Completed,Bank Export
TX00110,ACC0072,ACC0054,9958,Deposit,2025-12-17 17:12:02,Flagged,Wallet Export
TX00111,ACC0067,ACC0049,7406,Withdrawal,2025-09-28 13:17:35,Completed,Manual Report
TX00112,ACC0040,ACC0073,10199,Transfer,2026-05-26 16:36:22,Flagged,Bank Export
TX00113,ACC0027,ACC0081,3482,Refund,2025-09-06 23:01:29,Completed,Wallet Export
TX00114,ACC0031,ACC0023,9068,Transfer,2025-08-16 00:20:46,Completed,Bank Export
TX00115,ACC0053,ACC0058,11319,Deposit,2026-02-12 18:48:39,Pending,ERP
TX00116,ACC0005,ACC0030,4745,Refund,2026-03-02 19:54:14,Pending,Bank Export
TX00117,ACC0030,ACC0034,12932,Deposit,2025-09-27 16:55:06,Completed,Manual Report
TX00118,ACC0015,ACC0070,3708,Payment,2025-08-29 09:13:36,Completed,Wallet Export
TX00119,ACC0010,ACC0008,2743,Refund,2025-09-08 20:13:09,Flagged,ERP
TX00120,ACC0057,ACC0016,7704,Refund,2025-10-29 09:30:14,Pending,ERP
TX00121,ACC0065,ACC0070,8115,Withdrawal,2025-07-18 12:23:11,Completed,Bank Export
TX00122,ACC0056,ACC0042,9916,Refund,2026-02-13 13:07:08,Completed,Bank Export
TX00123,ACC0030,ACC0074,9644,Transfer,2026-02-03 09:00:57,Completed,Bank Export
TX00124,ACC0023,ACC0061,8527,Withdrawal,2025-09-22 04:41:16,Completed,Wallet Export
TX00125,ACC0075,ACC0056,10425,Withdrawal,2025-11-22 06:09:15,Completed,Manual Report
TX00126,ACC0045,ACC0053,5485,Refund,2025-09-28 11:29:51,Completed,Wallet Export
TX00127,ACC0043,ACC0053,11390,Withdrawal,2026-05-24 11:35:27,Completed,Manual Report
TX00128,ACC0071,ACC0005,7476,Transfer,2026-03-16 16:23:50,Completed,ERP
TX00129,ACC0042,ACC0015,12682,Withdrawal,2026-05-27 02:11:17,Flagged,Bank Export
TX00130,ACC0070,ACC0060,6795,Transfer,2025-06-25 20:39:48,Completed,ERP
TX00131,ACC0080,ACC0064,10271,Withdrawal,2025-06-01 07:20:19,Completed,Wallet Export
TX00132,ACC0035,ACC0071,2171,Refund,2025-11-22 16:02:35,Pending,Manual Report
TX00133,ACC0016,ACC0004,10347,Deposit,2026-01-24 22:08:10,Completed,Wallet Export
TX00134,ACC0040,ACC0071,249,Deposit,2026-01-02 07:59:36,Pending,Bank Export
TX00135,ACC0029,ACC0015,7585,Transfer,2025-07-06 12:24:19,Completed,Manual Report
TX00136,ACC0038,ACC0066,11582,Refund,2025-06-26 03:21:06,Pending,Manual Report
TX00137,ACC0061,ACC0032,7508,Deposit,2025-12-23 11:37:42,Completed,Manual Report
TX00138,ACC0025,ACC0077,8352,Payment,2025-08-19 11:15:16,Completed,ERP
TX00139,ACC0054,ACC0044,12930,Deposit,2025-12-11 03:41:58,Completed,Bank Export
TX00140,ACC0037,ACC0039,13746,Deposit,2025-09-08 16:21:34,Flagged,Manual Report
TX00141,ACC0020,ACC0058,8849,Withdrawal,2025-07-19 03:05:49,Completed,ERP
TX00142,ACC0071,ACC0070,6205,Withdrawal,2026-05-26 03:07:13,Completed,Wallet Export
TX00143,ACC0031,ACC0074,6299,Payment,2025-10-11 05:30:38,Pending,Bank Export
TX00144,ACC0041,ACC0061,11579,Withdrawal,2026-05-05 18:45:42,Pending,Wallet Export
TX00145,ACC0064,ACC0005,2093,Deposit,2025-06-24 09:41:38,Flagged,ERP
TX00146,ACC0013,ACC0057,1658,Deposit,2026-05-05 03:54:18,Pending,Bank Export
TX00147,ACC0019,ACC0053,14294,Payment,2025-08-31 13:24:29,Completed,Manual Report
TX00148,ACC0034,ACC0044,10236,Withdrawal,2025-10-19 04:45:16,Completed,ERP
TX00149,ACC0069,ACC0049,5213,Withdrawal,2025-09-16 08:47:15,Flagged,Bank Export
TX00150,ACC0080,ACC0009,3871,Refund,2025-07-28 22:49:10,Completed,Bank Export
TX00151,ACC0056,ACC0013,12482,Transfer,2025-11-14 20:41:19,Pending,Wallet Export
TX00152,ACC0039,ACC0004,778,Refund,2026-04-17 11:34:43,Completed,ERP
TX00153,ACC0046,ACC0048,7081,Payment,2025-12-25 15:40:15,Completed,Manual Report
TX00154,ACC0073,ACC0024,2810,Payment,2026-02-25 21:58:47,Completed,Manual Report
TX00155,ACC0080,ACC0031,8178,Deposit,2025-09-23 04:10:35,Completed,Wallet Export
TX00156,ACC0060,ACC0082,4186,Withdrawal,2026-01-21 05:45:44,Completed,Bank Export
TX00157,ACC0060,ACC0037,11126,Deposit,2026-04-07 03:13:45,Completed,Bank Export
TX00158,ACC0057,ACC0045,9651,Refund,2026-02-06 16:00:48,Pending,ERP
TX00159,ACC0059,ACC0039,3288,Withdrawal,2025-12-20 02:35:49,Pending,Bank Export
TX00160,ACC0031,ACC0049,9395,Refund,2025-05-31 17:25:44,Flagged,ERP
TX00161,ACC0038,ACC0003,13624,Withdrawal,2026-02-12 01:26:55,Completed,Bank Export
TX00162,ACC0073,ACC0007,14944,Deposit,2026-04-11 00:28:30,Pending,ERP
TX00163,ACC0030,ACC0078,13163,Refund,2025-12-30 01:46:49,Completed,Wallet Export
TX00164,ACC0080,ACC0033,11129,Payment,2025-09-21 22:55:28,Completed,Bank Export
TX00165,ACC0040,ACC0057,571,Deposit,2026-05-25 13:06:29,Completed,Wallet Export
TX00166,ACC0012,ACC0038,5377,Withdrawal,2026-02-10 07:44:36,Completed,Wallet Export
TX00167,ACC0017,ACC0070,14384,Refund,2025-07-07 22:00:31,Flagged,ERP
TX00168,ACC0022,ACC0033,15000,Withdrawal,2026-05-28 07:58:27,Completed,ERP
TX00169,ACC0015,ACC0060,1258,Payment,2026-05-04 17:14:56,Completed,Manual Report
TX00170,ACC0072,ACC0047,1504,Withdrawal,2025-07-19 20:11:47,Completed,ERP
TX00171,ACC0069,ACC0016,7476,Refund,2025-09-08 09:30:48,Completed,Manual Report
TX00172,ACC0082,ACC0048,1800,Payment,2025-07-12 12:23:08,Pending,Bank Export
TX00173,ACC0080,ACC0072,5399,Deposit,2026-05-09 05:14:09,Completed,Bank Export
TX00174,ACC0082,ACC0060,14924,Refund,2025-07-09 06:09:36,Pending,Bank Export
TX00175,ACC0018,ACC0006,634,Refund,2026-03-13 00:20:15,Pending,Bank Export
TX00176,ACC0013,ACC0031,14561,Deposit,2025-12-29 12:55:50,Completed,Manual Report
TX00177,ACC0059,ACC0048,11010,Deposit,2025-07-28 01:23:31,Pending,Wallet Export
TX00178,ACC0054,ACC0013,13684,Withdrawal,2025-09-11 10:58:54,Flagged,Manual Report
TX00179,ACC0036,ACC0005,11334,Refund,2025-09-15 02:40:16,Completed,Manual Report
TX00180,ACC0057,ACC0031,14040,Refund,2026-01-18 13:56:06,Completed,ERP
TX00181,ACC0070,ACC0046,1017,Withdrawal,2025-08-18 11:43:23,Completed,Wallet Export
TX00182,ACC0016,ACC0059,1526,Payment,2026-03-03 09:08:34,Flagged,Bank Export
TX00183,ACC0007,ACC0043,4015,Payment,2025-10-08 20:23:18,Flagged,Wallet Export
TX00184,ACC0009,ACC0071,3419,Deposit,2025-08-15 18:10:37,Completed,Wallet Export
TX00185,ACC0043,ACC0019,12946,Deposit,2026-02-19 16:27:00,Completed,ERP
TX00186,ACC0019,ACC0017,8875,Refund,2026-01-30 00:02:19,Completed,Bank Export
TX00187,ACC0004,ACC0017,268,Refund,2026-04-24 22:14:10,Completed,ERP
TX00188,ACC0003,ACC0023,4372,Transfer,2025-09-08 05:01:14,Completed,Manual Report
TX00189,ACC0068,ACC0015,12241,Transfer,2025-12-10 23:15:58,Pending,Manual Report
TX00190,ACC0047,ACC0066,9751,Transfer,2025-12-04 09:57:33,Pending,Wallet Export
TX00191,ACC0079,ACC0006,11940,Deposit,2025-09-03 05:07:55,Completed,Manual Report
TX00192,ACC0004,ACC0008,7872,Withdrawal,2026-05-15 06:51:36,Pending,Bank Export
TX00193,ACC0063,ACC0057,1229,Transfer,2026-05-16 09:10:05,Completed,Wallet Export
TX00194,ACC0009,ACC0017,4530,Deposit,2026-04-22 06:46:14,Flagged,ERP
TX00195,ACC0049,ACC0077,8717,Refund,2025-06-17 09:59:33,Pending,Manual Report
TX00196,ACC0013,ACC0015,13997,Deposit,2025-07-03 12:47:47,Completed,Manual Report
TX00197,ACC0058,ACC0030,6804,Refund,2026-01-30 00:28:19,Pending,Manual Report
TX00198,ACC0054,ACC0013,5145,Withdrawal,2025-11-09 04:31:29,Completed,ERP
TX00199,ACC0048,ACC0020,11277,Withdrawal,2026-04-15 18:35:49,Completed,Bank Export
TX00200,ACC0011,ACC0012,7100,Transfer,2025-09-13 03:21:32,Completed,Wallet Export
TX00201,ACC0072,ACC0008,9633,Deposit,2025-06-14 19:25:51,Flagged,ERP
TX00202,ACC0016,ACC0053,5818,Withdrawal,2025-05-30 01:33:38,Completed,ERP
TX00203,ACC0077,ACC0040,5786,Transfer,2025-10-05 05:29:05,Flagged,Wallet Export
TX00204,ACC0020,ACC0062,3699,Transfer,2026-03-24 03:51:52,Completed,ERP
TX00205,ACC0015,ACC0036,9431,Payment,2025-07-18 11:50:24,Pending,Bank Export
TX00206,ACC0078,ACC0035,499,Payment,2026-01-31 02:50:22,Completed,ERP
TX00207,ACC0044,ACC0045,125,Payment,2025-09-07 10:06:45,Completed,Manual Report
TX00208,ACC0009,ACC0019,12165,Transfer,2025-07-30 10:33:56,Completed,Wallet Export
TX00209,ACC0049,ACC0054,7457,Refund,2026-03-12 13:17:07,Completed,ERP
TX00210,ACC0040,ACC0042,12752,Deposit,2025-11-16 06:43:04,Flagged,Bank Export
TX00211,ACC0007,ACC0020,2604,Deposit,2025-12-28 22:32:48,Completed,Bank Export
TX00212,ACC0035,ACC0057,10870,Withdrawal,2026-02-26 17:48:35,Pending,Manual Report
TX00213,ACC0054,ACC0035,3556,Deposit,2025-11-10 18:50:36,Completed,ERP
TX00214,ACC0056,ACC0015,4665,Deposit,2026-01-01 12:32:36,Pending,ERP
TX00215,ACC0006,ACC0029,6500,Deposit,2025-06-01 10:38:26,Completed,Bank Export
TX00216,ACC0027,ACC0039,3485,Payment,2025-07-11 03:15:09,Completed,ERP
TX00217,ACC0042,ACC0016,151,Withdrawal,2025-06-26 21:50:09,Pending,Wallet Export
TX00218,ACC0017,ACC0049,8750,Payment,2026-05-06 15:39:38,Flagged,ERP
TX00219,ACC0010,ACC0051,14144,Transfer,2026-02-21 01:16:55,Pending,Bank Export
TX00220,ACC0059,ACC0010,14149,Refund,2026-05-14 17:44:14,Flagged,Manual Report
TX00221,ACC0074,ACC0052,11649,Withdrawal,2025-07-25 13:47:56,Completed,Bank Export
TX00222,ACC0052,ACC0003,5346,Payment,2025-12-26 13:46:57,Flagged,Manual Report
TX00223,ACC0047,ACC0012,7180,Transfer,2025-06-11 16:19:08,Completed,Manual Report
TX00224,ACC0076,ACC0052,8609,Transfer,2026-04-17 19:30:06,Pending,ERP
TX00225,ACC0044,ACC0029,5481,Payment,2025-10-19 01:51:17,Completed,Bank Export
TX00226,ACC0068,ACC0066,3201,Refund,2026-01-09 21:53:42,Completed,Wallet Export
TX00227,ACC0031,ACC0014,2424,Refund,2025-12-29 06:25:10,Completed,Wallet Export
TX00228,ACC0078,ACC0020,12480,Transfer,2025-07-25 04:50:47,Completed,Manual Report
TX00229,ACC0060,ACC0073,12474,Deposit,2025-11-11 14:24:54,Pending,ERP
TX00230,ACC0081,ACC0041,2498,Withdrawal,2025-07-17 04:23:27,Completed,Manual Report
TX00231,ACC0057,ACC0081,4986,Refund,2025-06-13 22:23:08,Flagged,Bank Export
TX00232,ACC0046,ACC0065,1240,Refund,2025-09-25 09:41:18,Pending,Manual Report
TX00233,ACC0005,ACC0008,6066,Refund,2025-10-17 07:18:39,Completed,Bank Export
TX00234,ACC0079,ACC0077,8332,Withdrawal,2026-05-12 19:37:38,Pending,Bank Export
TX00235,ACC0058,ACC0074,10704,Payment,2026-05-26 01:31:23,Completed,Manual Report
TX00236,ACC0065,ACC0020,1038,Withdrawal,2026-04-02 20:54:36,Completed,ERP
TX00237,ACC0011,ACC0065,10611,Payment,2026-04-27 22:50:31,Completed,Wallet Export
TX00238,ACC0057,ACC0068,8589,Deposit,2025-06-13 04:21:34,Completed,ERP
TX00239,ACC0048,ACC0037,6372,Withdrawal,2026-05-12 19:05:50,Completed,Bank Export
TX00240,ACC0081,ACC0043,1104,Refund,2025-10-14 15:32:10,Completed,Manual Report
TX00241,ACC0037,ACC0033,11882,Deposit,2025-08-18 06:34:03,Completed,ERP
TX00242,ACC0011,ACC0075,10897,Payment,2026-02-17 13:50:05,Completed,ERP
TX00243,ACC0051,ACC0017,9774,Transfer,2025-09-02 14:17:53,Completed,Manual Report
TX00244,ACC0043,ACC0017,11004,Deposit,2026-02-11 16:46:56,Completed,Manual Report
TX00245,ACC0066,ACC0047,323,Refund,2025-07-07 14:37:06,Completed,Wallet Export
TX00246,ACC0028,ACC0044,12577,Withdrawal,2025-10-13 01:02:10,Completed,Wallet Export
TX00247,ACC0018,ACC0020,1289,Refund,2026-03-27 15:43:22,Completed,Bank Export
TX00248,ACC0044,ACC0080,2172,Deposit,2026-01-01 03:00:18,Pending,Wallet Export
TX00249,ACC0021,ACC0024,13645,Deposit,2026-05-07 01:14:42,Completed,Manual Report
TX00250,ACC0006,ACC0053,5993,Payment,2026-05-03 09:25:33,Pending,ERP
TX00251,ACC0058,ACC0030,8774,Payment,2025-11-02 12:13:27,Completed,Manual Report
TX00252,ACC0025,ACC0048,11138,Deposit,2026-01-24 17:29:49,Pending,Manual Report
TX00253,ACC0037,ACC0049,8264,Deposit,2026-03-15 18:09:00,Pending,Wallet Export
TX00254,ACC0026,ACC0078,2292,Refund,2025-07-27 17:03:14,Completed,Manual Report
TX00255,ACC0048,ACC0071,1705,Deposit,2026-05-23 05:15:24,Completed,ERP
TX00256,ACC0011,ACC0021,4494,Withdrawal,2026-05-24 19:37:54,Flagged,Wallet Export
TX00257,ACC0056,ACC0012,14942,Payment,2025-08-28 15:03:51,Pending,ERP
TX00258,ACC0004,ACC0054,897,Withdrawal,2026-04-29 11:13:18,Flagged,ERP
TX00259,ACC0031,ACC0050,1362,Refund,2025-07-30 19:08:19,Completed,Bank Export
TX00260,ACC0041,ACC0013,13774,Refund,2026-04-04 07:59:59,Completed,Wallet Export
TX00261,ACC0005,ACC0037,13619,Withdrawal,2026-04-08 13:27:09,Completed,Manual Report
TX00262,ACC0058,ACC0079,111,Transfer,2025-08-05 10:45:36,Completed,ERP
TX00263,ACC0028,ACC0020,9016,Deposit,2026-05-05 23:54:25,Flagged,Manual Report
TX00264,ACC0015,ACC0037,3918,Refund,2025-11-04 19:22:29,Completed,Bank Export
TX00265,ACC0031,ACC0054,10493,Deposit,2025-06-07 07:32:17,Pending,Bank Export
TX00266,ACC0015,ACC0064,9801,Deposit,2025-08-06 08:16:30,Completed,Wallet Export
TX00267,ACC0019,ACC0038,7057,Transfer,2026-03-10 17:47:27,Flagged,ERP
TX00268,ACC0031,ACC0074,6850,Payment,2026-05-22 17:21:31,Completed,ERP
TX00269,ACC0009,ACC0068,8939,Deposit,2025-10-04 16:42:19,Flagged,Bank Export
TX00270,ACC0050,ACC0061,738,Withdrawal,2026-03-28 12:52:59,Completed,ERP
TX00271,ACC0003,ACC0046,12944,Transfer,2026-05-25 04:20:43,Completed,Wallet Export
TX00272,ACC0081,ACC0014,12665,Deposit,2025-11-04 13:57:26,Completed,Wallet Export
TX00273,ACC0006,ACC0046,8970,Refund,2026-04-05 05:53:09,Completed,Manual Report
TX00274,ACC0062,ACC0081,3011,Payment,2026-02-12 20:29:58,Completed,Manual Report
TX00275,ACC0005,ACC0038,3327,Transfer,2026-04-29 06:10:22,Completed,Bank Export
TX00276,ACC0041,ACC0040,8469,Withdrawal,2026-03-10 03:44:43,Flagged,Manual Report
TX00277,ACC0033,ACC0005,12366,Payment,2026-04-08 13:14:37,Completed,ERP
TX00278,ACC0007,ACC0043,4501,Transfer,2025-09-02 01:35:55,Completed,Manual Report
TX00279,ACC0052,ACC0057,14682,Withdrawal,2025-09-09 07:19:19,Completed,Wallet Export
TX00280,ACC0064,ACC0048,13087,Deposit,2025-07-29 12:20:38,Completed,Bank Export
TX00281,ACC0055,ACC0011,7080,Deposit,2026-03-30 11:22:29,Completed,ERP
TX00282,ACC0042,ACC0014,1336,Refund,2026-02-25 00:53:56,Completed,ERP
TX00283,ACC0058,ACC0078,11783,Withdrawal,2025-07-09 16:02:12,Completed,Manual Report
TX00284,ACC0045,ACC0058,718,Refund,2025-10-24 06:03:35,Flagged,Manual Report
TX00285,ACC0036,ACC0082,12992,Transfer,2026-05-02 09:41:46,Completed,Manual Report
TX00286,ACC0047,ACC0066,13150,Payment,2025-06-12 17:27:07,Completed,Wallet Export
TX00287,ACC0078,ACC0057,595,Payment,2026-04-27 03:10:53,Completed,Wallet Export
TX00288,ACC0047,ACC0050,9318,Transfer,2025-11-27 11:39:41,Flagged,Wallet Export
TX00289,ACC0058,ACC0048,6120,Withdrawal,2025-08-23 01:44:42,Completed,Wallet Export
TX00290,ACC0068,ACC0047,6546,Refund,2025-08-14 04:39:57,Completed,Wallet Export
